track_id,playlist_id,artist,album,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
4LRPiXqCikLlN15c3yImP7,37i9dQZF1DXcBWIGoYBM5M,Harry Styles,As It Was,As It Was,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4,pop
0O6u0VJ46W86TxN9wgyqDj,37i9dQZF1DXcBWIGoYBM5M,Post Malone,Twelve Carat Toothache,I Like You (A Happier Song) (with Doja Cat),0.733,0.67,5,-6.009,1,0.0751,0,0.121,0.472,100.964,192841,4,dfw rap
4h9wh7iOZ0GGn8QVp4RAOB,37i9dQZF1DXcBWIGoYBM5M,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,0.704,0.797,0,-5.927,1,0.0475,0.000745,0.0546,0.825,139.994,148486,4,dance pop
2tTmW7RDtMQtBk7m2rYeSw,37i9dQZF1DXcBWIGoYBM5M,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",0.621,0.782,2,-5.548,1,0.044,0.033,0.23,0.55,128.033,198938,4,argentine hip hop
1PckUlxKqWQs3RlWXVBLw3,37i9dQZF1DXcBWIGoYBM5M,Lizzo,About Damn Time,About Damn Time,0.836,0.743,10,-6.305,0,0.0656,0,0.335,0.722,108.966,191822,4,dance pop
0hquQWY3xvYqN4qtiquniF,37i9dQZF1DXcBWIGoYBM5M,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),0.801,0.601,8,-7.574,0,0.255,3.23e-05,0.145,0.74,159.969,182907,4,dance pop
29d0nY7TzCoi22XBqDQkiP,37i9dQZF1DXcBWIGoYBM5M,Kate Bush,Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,0.625,0.533,10,-11.903,0,0.0596,0.00266,0.0546,0.139,108.296,300840,4,art pop
0skYUMpS0AcbpjcGsAbRGj,37i9dQZF1DXcBWIGoYBM5M,BLACKPINK,Pink Venom,Pink Venom,0.798,0.697,0,-7.139,1,0.0891,0,0.259,0.745,90.031,186964,4,k-pop
4C6Uex2ILwJi9sZXRdmqXp,37i9dQZF1DXcBWIGoYBM5M,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,0.95,0.891,2,-2.653,1,0.241,1.77e-05,0.309,0.912,133.01,170977,4,dance pop
76OGwb5RA9h4FxQPT33ekc,37i9dQZF1DXcBWIGoYBM5M,Rosa Linn,SNAP,SNAP,0.565,0.636,0,-8.198,1,0.0638,9.9e-06,0.447,0.525,170.01,179551,4,unknown
1qEmFfgcLObUfQm0j1W2CK,37i9dQZF1DXcBWIGoYBM5M,Harry Styles,Harry's House,Late Night Talking,0.714,0.728,10,-4.595,1,0.0468,0,0.106,0.901,114.996,177955,4,pop
4uUG5RXrOk84mYEfFvj3cK,37i9dQZF1DXcBWIGoYBM5M,David Guetta,I'm Good (Blue),I'm Good (Blue),0.561,0.965,7,-3.673,0,0.0343,7.07e-06,0.371,0.304,128.04,175238,4,big room
0mBP9X2gPCuapvpZ7TGDk3,37i9dQZF1DXcBWIGoYBM5M,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),0.881,0.592,2,-4.898,1,0.0324,1.32e-05,0.0901,0.719,101.058,154487,4,dance pop
